	Gilbertella_persicariavar.indica_CBS_442.64-.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0005716	GBNTN_007864-T1	GBNWO_001415-T1
OG0005717	GBNTN_007866-T1	GBNWO_005423-T1
OG0005718	GBNTN_007869-T1	GBNWO_000169-T1
OG0005719	GBNTN_007872-T1	GBNWO_008757-T1
OG0005720	GBNTN_007874-T1	GBNWO_008755-T1
OG0005721	GBNTN_007875-T1	GBNWO_008754-T1
OG0005722	GBNTN_007879-T1	GBNWO_003863-T1
OG0005723	GBNTN_007880-T1	GBNWO_003862-T1
OG0005724	GBNTN_007882-T1	GBNWO_003861-T1
OG0005725	GBNTN_007883-T1	GBNWO_003860-T1
OG0005726	GBNTN_007884-T1	GBNWO_006816-T1
OG0005727	GBNTN_007886-T1	GBNWO_006814-T1
OG0005728	GBNTN_007887-T1	GBNWO_006813-T1
OG0005729	GBNTN_007890-T1	GBNWO_003583-T1
OG0005730	GBNTN_007891-T1	GBNWO_003584-T1
OG0005731	GBNTN_007892-T1	GBNWO_003585-T1
OG0005732	GBNTN_007894-T1	GBNWO_003587-T1
OG0005733	GBNTN_007896-T1	GBNWO_003589-T1
OG0005734	GBNTN_007899-T1	GBNWO_008823-T1
OG0005735	GBNTN_007902-T1	GBNWO_002808-T1
OG0005736	GBNTN_007905-T1	GBNWO_007516-T1
OG0005737	GBNTN_007906-T1	GBNWO_007517-T1
OG0005738	GBNTN_007908-T1	GBNWO_007518-T1
OG0005739	GBNTN_007911-T1	GBNWO_003724-T1
OG0005740	GBNTN_007914-T1	GBNWO_007447-T1
OG0005741	GBNTN_007917-T1	GBNWO_008776-T1
OG0005742	GBNTN_007918-T1	GBNWO_008777-T1
OG0005743	GBNTN_007920-T1	GBNWO_008779-T1
OG0005744	GBNTN_007921-T1	GBNWO_008780-T1
OG0005745	GBNTN_007922-T1	GBNWO_002116-T1
OG0005746	GBNTN_007923-T1	GBNWO_001148-T1
OG0005747	GBNTN_007924-T1	GBNWO_001147-T1
OG0005748	GBNTN_007925-T1	GBNWO_001146-T1
OG0005749	GBNTN_007928-T1	GBNWO_001395-T1
OG0005750	GBNTN_007930-T1	GBNWO_001491-T1
OG0005751	GBNTN_007931-T1	GBNWO_001490-T1
OG0005752	GBNTN_007933-T1	GBNWO_003429-T1
OG0005753	GBNTN_007935-T1	GBNWO_003431-T1
OG0005754	GBNTN_007938-T1	GBNWO_004398-T1
OG0005755	GBNTN_007939-T1	GBNWO_004399-T1
OG0005756	GBNTN_007940-T1	GBNWO_004400-T1
OG0005757	GBNTN_007942-T1	GBNWO_007084-T1
OG0005758	GBNTN_007945-T1	GBNWO_008806-T1
OG0005759	GBNTN_007946-T1	GBNWO_008807-T1
OG0005760	GBNTN_007947-T1	GBNWO_008808-T1
OG0005761	GBNTN_007948-T1	GBNWO_000596-T1
OG0005762	GBNTN_007950-T1	GBNWO_000439-T1
OG0005763	GBNTN_007951-T1	GBNWO_000438-T1
OG0005764	GBNTN_007952-T1	GBNWO_003022-T1
OG0005765	GBNTN_007953-T1	GBNWO_003021-T1
OG0005766	GBNTN_007954-T1	GBNWO_003020-T1
OG0005767	GBNTN_007955-T1	GBNWO_006775-T1
OG0005768	GBNTN_007957-T1	GBNWO_006777-T1
OG0005769	GBNTN_007958-T1	GBNWO_006778-T1
OG0005770	GBNTN_007959-T1	GBNWO_006779-T1
OG0005771	GBNTN_007963-T1	GBNWO_003138-T1
OG0005772	GBNTN_007964-T1	GBNWO_003136-T1
OG0005773	GBNTN_007965-T1	GBNWO_003135-T1
OG0005774	GBNTN_007968-T1	GBNWO_003133-T1
OG0005775	GBNTN_007969-T1	GBNWO_003132-T1
OG0005776	GBNTN_007972-T1	GBNWO_003131-T1
OG0005777	GBNTN_007979-T1	GBNWO_003128-T1
OG0005778	GBNTN_007982-T1	GBNWO_003125-T1
OG0005779	GBNTN_007987-T1	GBNWO_003121-T1
OG0005780	GBNTN_007988-T1	GBNWO_003120-T1
OG0005781	GBNTN_007991-T1	GBNWO_001203-T1
OG0005782	GBNTN_007992-T1	GBNWO_009085-T1
OG0005783	GBNTN_007993-T1	GBNWO_007472-T1
OG0005784	GBNTN_007994-T1	GBNWO_007471-T1
OG0005785	GBNTN_007995-T1	GBNWO_007470-T1
OG0005786	GBNTN_007996-T1	GBNWO_007469-T1
OG0005787	GBNTN_007997-T1	GBNWO_007468-T1
OG0005788	GBNTN_007999-T1	GBNWO_001540-T1
OG0005789	GBNTN_008000-T1	GBNWO_001539-T1
OG0005790	GBNTN_008001-T1	GBNWO_005091-T1
OG0005791	GBNTN_008002-T1	GBNWO_003413-T1
OG0005792	GBNTN_008003-T1	GBNWO_000234-T1
OG0005793	GBNTN_008004-T1	GBNWO_000233-T1
OG0005794	GBNTN_008005-T1	GBNWO_000232-T1
OG0005795	GBNTN_008006-T1	GBNWO_000231-T1
OG0005796	GBNTN_008007-T1	GBNWO_003078-T1
OG0005797	GBNTN_008009-T1	GBNWO_009303-T1
OG0005798	GBNTN_008011-T1	GBNWO_009302-T1
OG0005799	GBNTN_008016-T1	GBNWO_007378-T1
OG0005800	GBNTN_008017-T1	GBNWO_007377-T1
OG0005801	GBNTN_008021-T1	GBNWO_008224-T1
OG0005802	GBNTN_008022-T1	GBNWO_008225-T1
OG0005803	GBNTN_008023-T1	GBNWO_008226-T1
OG0005804	GBNTN_008025-T1	GBNWO_008228-T1
OG0005805	GBNTN_008026-T1	GBNWO_007912-T1
OG0005806	GBNTN_008030-T1	GBNWO_001274-T1
OG0005807	GBNTN_008032-T1	GBNWO_001947-T1
OG0005808	GBNTN_008033-T1	GBNWO_001492-T1
OG0005809	GBNTN_008034-T1	GBNWO_001493-T1
OG0005810	GBNTN_008035-T1	GBNWO_001494-T1
OG0005811	GBNTN_008036-T1	GBNWO_001495-T1
OG0005812	GBNTN_008037-T1	GBNWO_001663-T1
OG0005813	GBNTN_008038-T1	GBNWO_001662-T1
OG0005814	GBNTN_008039-T1	GBNWO_001661-T1
OG0005815	GBNTN_008040-T1	GBNWO_001660-T1
OG0005816	GBNTN_008043-T1	GBNWO_001658-T1
OG0005817	GBNTN_008045-T1	GBNWO_001656-T1
OG0005818	GBNTN_008046-T1	GBNWO_001655-T1
OG0005819	GBNTN_008047-T1	GBNWO_001654-T1
OG0005820	GBNTN_008048-T1	GBNWO_001653-T1
OG0005821	GBNTN_008049-T1	GBNWO_001652-T1
OG0005822	GBNTN_008050-T1	GBNWO_001651-T1
OG0005823	GBNTN_008051-T1	GBNWO_001650-T1
OG0005824	GBNTN_008052-T1	GBNWO_001649-T1
OG0005825	GBNTN_008056-T1	GBNWO_001647-T1
OG0005826	GBNTN_008057-T1	GBNWO_001646-T1
OG0005827	GBNTN_008063-T1	GBNWO_001643-T1
OG0005828	GBNTN_008064-T1	GBNWO_003184-T1
OG0005829	GBNTN_008069-T1	GBNWO_000089-T1
OG0005830	GBNTN_008071-T1	GBNWO_003092-T1
OG0005831	GBNTN_008072-T1	GBNWO_003091-T1
OG0005832	GBNTN_008074-T1	GBNWO_002196-T1
OG0005833	GBNTN_008075-T1	GBNWO_002197-T1
OG0005834	GBNTN_008076-T1	GBNWO_002198-T1
OG0005835	GBNTN_008077-T1	GBNWO_002199-T1
OG0005836	GBNTN_008078-T1	GBNWO_002200-T1
OG0005837	GBNTN_008079-T1	GBNWO_001094-T1
OG0005838	GBNTN_008080-T1	GBNWO_001095-T1
OG0005839	GBNTN_008081-T1	GBNWO_001096-T1
OG0005840	GBNTN_008082-T1	GBNWO_003820-T1
OG0005841	GBNTN_008084-T1	GBNWO_003821-T1
OG0005842	GBNTN_008085-T1	GBNWO_003822-T1
OG0005843	GBNTN_008087-T1	GBNWO_007419-T1
OG0005844	GBNTN_008090-T1	GBNWO_003618-T1
OG0005845	GBNTN_008091-T1	GBNWO_008658-T1
OG0005846	GBNTN_008092-T1	GBNWO_008657-T1
OG0005847	GBNTN_008094-T1	GBNWO_008312-T1
OG0005848	GBNTN_008095-T1	GBNWO_008311-T1
OG0005849	GBNTN_008096-T1	GBNWO_008310-T1
OG0005850	GBNTN_008097-T1	GBNWO_004634-T1
OG0005851	GBNTN_008100-T1	GBNWO_000452-T1
OG0005852	GBNTN_008102-T1	GBNWO_000451-T1
OG0005853	GBNTN_008103-T1	GBNWO_003306-T1
OG0005854	GBNTN_008104-T1	GBNWO_003307-T1
OG0005855	GBNTN_008105-T1	GBNWO_009040-T1
OG0005856	GBNTN_008106-T1	GBNWO_009041-T1
OG0005857	GBNTN_008107-T1	GBNWO_009042-T1
OG0005858	GBNTN_008108-T1	GBNWO_009043-T1
OG0005859	GBNTN_008109-T1	GBNWO_009044-T1
OG0005860	GBNTN_008110-T1	GBNWO_007436-T1
OG0005861	GBNTN_008111-T1	GBNWO_007435-T1
OG0005862	GBNTN_008112-T1	GBNWO_007434-T1
OG0005863	GBNTN_008114-T1	GBNWO_007432-T1
OG0005864	GBNTN_008115-T1	GBNWO_007431-T1
OG0005865	GBNTN_008118-T1	GBNWO_009358-T1
OG0005866	GBNTN_008121-T1	GBNWO_009360-T1
OG0005867	GBNTN_008122-T1	GBNWO_009361-T1
OG0005868	GBNTN_008124-T1	GBNWO_009363-T1
OG0005869	GBNTN_008127-T1	GBNWO_008149-T1
OG0005870	GBNTN_008128-T1	GBNWO_008150-T1
OG0005871	GBNTN_008131-T1	GBNWO_008152-T1
OG0005872	GBNTN_008132-T1	GBNWO_008153-T1
OG0005873	GBNTN_008134-T1	GBNWO_008155-T1
OG0005874	GBNTN_008135-T1	GBNWO_008156-T1
OG0005875	GBNTN_008142-T1	GBNWO_002060-T1
OG0005876	GBNTN_008143-T1	GBNWO_002061-T1
OG0005877	GBNTN_008145-T1	GBNWO_002063-T1
OG0005878	GBNTN_008146-T1	GBNWO_002064-T1
OG0005879	GBNTN_008147-T1	GBNWO_007415-T1
OG0005880	GBNTN_008148-T1	GBNWO_007417-T1
OG0005881	GBNTN_008150-T1	GBNWO_002118-T1
OG0005882	GBNTN_008151-T1	GBNWO_002119-T1
OG0005883	GBNTN_008152-T1	GBNWO_003802-T1
OG0005884	GBNTN_008153-T1	GBNWO_001724-T1
OG0005885	GBNTN_008154-T1	GBNWO_001723-T1
OG0005886	GBNTN_008155-T1	GBNWO_001722-T1
OG0005887	GBNTN_008156-T1	GBNWO_001721-T1
OG0005888	GBNTN_008157-T1	GBNWO_002789-T1
OG0005889	GBNTN_008158-T1	GBNWO_003570-T1
OG0005890	GBNTN_008159-T1	GBNWO_003571-T1
OG0005891	GBNTN_008161-T1	GBNWO_008972-T1
OG0005892	GBNTN_008162-T1	GBNWO_008973-T1
OG0005893	GBNTN_008163-T1	GBNWO_008974-T1
OG0005894	GBNTN_008165-T1	GBNWO_007562-T1
OG0005895	GBNTN_008167-T1	GBNWO_007563-T1
OG0005896	GBNTN_008169-T1	GBNWO_003699-T1
OG0005897	GBNTN_008171-T1	GBNWO_007858-T1
OG0005898	GBNTN_008172-T1	GBNWO_007859-T1
OG0005899	GBNTN_008173-T1	GBNWO_007860-T1
OG0005900	GBNTN_008177-T1	GBNWO_001216-T1
OG0005901	GBNTN_008180-T1	GBNWO_004058-T1
OG0005902	GBNTN_008183-T1	GBNWO_008783-T1
OG0005903	GBNTN_008184-T1	GBNWO_008782-T1
OG0005904	GBNTN_008187-T1	GBNWO_000954-T1
OG0005905	GBNTN_008188-T1	GBNWO_001809-T1
OG0005906	GBNTN_008189-T1	GBNWO_001810-T1
OG0005907	GBNTN_008191-T1	GBNWO_007626-T1
OG0005908	GBNTN_008192-T1	GBNWO_007627-T1
OG0005909	GBNTN_008193-T1	GBNWO_007628-T1
OG0005910	GBNTN_008194-T1	GBNWO_007629-T1
OG0005911	GBNTN_008195-T1	GBNWO_002550-T1
OG0005912	GBNTN_008196-T1	GBNWO_002080-T1
OG0005913	GBNTN_008200-T1	GBNWO_001069-T1
OG0005914	GBNTN_008201-T1	GBNWO_001068-T1
OG0005915	GBNTN_008202-T1	GBNWO_001067-T1
OG0005916	GBNTN_008203-T1	GBNWO_005366-T1
OG0005917	GBNTN_008204-T1	GBNWO_003869-T1
OG0005918	GBNTN_008205-T1	GBNWO_004519-T1
OG0005919	GBNTN_008206-T1	GBNWO_004244-T1
OG0005920	GBNTN_008207-T1	GBNWO_004245-T1
OG0005921	GBNTN_008208-T1	GBNWO_003169-T1
OG0005922	GBNTN_008209-T1	GBNWO_004592-T1
OG0005923	GBNTN_008210-T1	GBNWO_001260-T1
OG0005924	GBNTN_008211-T1	GBNWO_001259-T1
OG0005925	GBNTN_008213-T1	GBNWO_009176-T1
OG0005926	GBNTN_008214-T1	GBNWO_009175-T1
OG0005927	GBNTN_008215-T1	GBNWO_003542-T1
OG0005928	GBNTN_008217-T1	GBNWO_003197-T1
OG0005929	GBNTN_008220-T1	GBNWO_006859-T1
OG0005930	GBNTN_008221-T1	GBNWO_006858-T1
OG0005931	GBNTN_008222-T1	GBNWO_006857-T1
OG0005932	GBNTN_008223-T1	GBNWO_006856-T1
OG0005933	GBNTN_008225-T1	GBNWO_006854-T1
OG0005934	GBNTN_008227-T1	GBNWO_001742-T1
OG0005935	GBNTN_008228-T1	GBNWO_001741-T1
OG0005936	GBNTN_008229-T1	GBNWO_003782-T1
OG0005937	GBNTN_008232-T1	GBNWO_008278-T1
OG0005938	GBNTN_008233-T1	GBNWO_008279-T1
OG0005939	GBNTN_008234-T1	GBNWO_008280-T1
OG0005940	GBNTN_008235-T1	GBNWO_008281-T1
OG0005941	GBNTN_008236-T1	GBNWO_008282-T1
OG0005942	GBNTN_008238-T1	GBNWO_006739-T1
OG0005943	GBNTN_008240-T1	GBNWO_006737-T1
OG0005944	GBNTN_008242-T1	GBNWO_002657-T1
OG0005945	GBNTN_008244-T1	GBNWO_001496-T1
OG0005946	GBNTN_008250-T1	GBNWO_007825-T1
OG0005947	GBNTN_008251-T1	GBNWO_007824-T1
OG0005948	GBNTN_008252-T1	GBNWO_007823-T1
OG0005949	GBNTN_008253-T1	GBNWO_007822-T1
OG0005950	GBNTN_008254-T1	GBNWO_007821-T1
OG0005951	GBNTN_008255-T1	GBNWO_007820-T1
OG0005952	GBNTN_008261-T1	GBNWO_009045-T1
OG0005953	GBNTN_008262-T1	GBNWO_009046-T1
OG0005954	GBNTN_008264-T1	GBNWO_001738-T1
OG0005955	GBNTN_008265-T1	GBNWO_001739-T1
OG0005956	GBNTN_008267-T1	GBNWO_008352-T1
OG0005957	GBNTN_008268-T1	GBNWO_008354-T1
OG0005958	GBNTN_008271-T1	GBNWO_008356-T1
OG0005959	GBNTN_008273-T1	GBNWO_008358-T1
OG0005960	GBNTN_008276-T1	GBNWO_008361-T1
OG0005961	GBNTN_008278-T1	GBNWO_008363-T1
OG0005962	GBNTN_008279-T1	GBNWO_008364-T1
OG0005963	GBNTN_008280-T1	GBNWO_003692-T1
OG0005964	GBNTN_008282-T1	GBNWO_008959-T1
OG0005965	GBNTN_008283-T1	GBNWO_008960-T1
OG0005966	GBNTN_008285-T1	GBNWO_008961-T1
OG0005967	GBNTN_008288-T1	GBNWO_008964-T1
OG0005968	GBNTN_008292-T1	GBNWO_000087-T1
OG0005969	GBNTN_008294-T1	GBNWO_000085-T1
OG0005970	GBNTN_008298-T1	GBNWO_007150-T1
OG0005971	GBNTN_008301-T1	GBNWO_007147-T1
OG0005972	GBNTN_008306-T1	GBNWO_003756-T1
OG0005973	GBNTN_008308-T1	GBNWO_005527-T1
OG0005974	GBNTN_008309-T1	GBNWO_005526-T1
OG0005975	GBNTN_008310-T1	GBNWO_005525-T1
OG0005976	GBNTN_008312-T1	GBNWO_005522-T1
OG0005977	GBNTN_008314-T1	GBNWO_009050-T1
OG0005978	GBNTN_008315-T1	GBNWO_009049-T1
OG0005979	GBNTN_008316-T1	GBNWO_003212-T1
OG0005980	GBNTN_008318-T1	GBNWO_003211-T1
OG0005981	GBNTN_008319-T1	GBNWO_003210-T1
OG0005982	GBNTN_008320-T1	GBNWO_003209-T1
OG0005983	GBNTN_008321-T1	GBNWO_003208-T1
OG0005984	GBNTN_008322-T1	GBNWO_008513-T1
OG0005985	GBNTN_008323-T1	GBNWO_008514-T1
OG0005986	GBNTN_008324-T1	GBNWO_008515-T1
OG0005987	GBNTN_008326-T1	GBNWO_003788-T1
OG0005988	GBNTN_008327-T1	GBNWO_003787-T1
OG0005989	GBNTN_008328-T1	GBNWO_003015-T1
OG0005990	GBNTN_008329-T1	GBNWO_003014-T1
OG0005991	GBNTN_008330-T1	GBNWO_003013-T1
OG0005992	GBNTN_008331-T1	GBNWO_003012-T1
OG0005993	GBNTN_008333-T1	GBNWO_009473-T1
OG0005994	GBNTN_008334-T1	GBNWO_009474-T1
OG0005995	GBNTN_008335-T1	GBNWO_009475-T1
OG0005996	GBNTN_008336-T1	GBNWO_009476-T1
OG0005997	GBNTN_008337-T1	GBNWO_004833-T1
OG0005998	GBNTN_008338-T1	GBNWO_004834-T1
OG0005999	GBNTN_008339-T1	GBNWO_004835-T1
OG0006000	GBNTN_008341-T1	GBNWO_004836-T1
OG0006001	GBNTN_008343-T1	GBNWO_008500-T1
OG0006002	GBNTN_008344-T1	GBNWO_008499-T1
OG0006003	GBNTN_008346-T1	GBNWO_008497-T1
OG0006004	GBNTN_008349-T1	GBNWO_000865-T1
OG0006005	GBNTN_008350-T1	GBNWO_008852-T1
OG0006006	GBNTN_008353-T1	GBNWO_008849-T1
OG0006007	GBNTN_008357-T1	GBNWO_007245-T1
OG0006008	GBNTN_008358-T1	GBNWO_007244-T1
OG0006009	GBNTN_008362-T1	GBNWO_007755-T1
OG0006010	GBNTN_008363-T1	GBNWO_003090-T1
OG0006011	GBNTN_008364-T1	GBNWO_009418-T1
OG0006012	GBNTN_008370-T1	GBNWO_005242-T1
OG0006013	GBNTN_008372-T1	GBNWO_000552-T1
OG0006014	GBNTN_008373-T1	GBNWO_000551-T1
OG0006015	GBNTN_008374-T1	GBNWO_000550-T1
OG0006016	GBNTN_008375-T1	GBNWO_006928-T1
OG0006017	GBNTN_008376-T1	GBNWO_006926-T1
OG0006018	GBNTN_008379-T1	GBNWO_000597-T1
OG0006019	GBNTN_008383-T1	GBNWO_009051-T1
OG0006020	GBNTN_008384-T1	GBNWO_009052-T1
OG0006021	GBNTN_008385-T1	GBNWO_001397-T1
OG0006022	GBNTN_008386-T1	GBNWO_008664-T1
OG0006023	GBNTN_008387-T1	GBNWO_008665-T1
OG0006024	GBNTN_008391-T1	GBNWO_009427-T1
OG0006025	GBNTN_008392-T1	GBNWO_009426-T1
OG0006026	GBNTN_008397-T1	GBNWO_005715-T1
OG0006027	GBNTN_008398-T1	GBNWO_005714-T1
OG0006028	GBNTN_008399-T1	GBNWO_005713-T1
OG0006029	GBNTN_008403-T1	GBNWO_006388-T1
OG0006030	GBNTN_008407-T1	GBNWO_005953-T1
OG0006031	GBNTN_008408-T1	GBNWO_005954-T1
OG0006032	GBNTN_008409-T1	GBNWO_005955-T1
OG0006033	GBNTN_008411-T1	GBNWO_005956-T1
OG0006034	GBNTN_008414-T1	GBNWO_005746-T1
OG0006035	GBNTN_008416-T1	GBNWO_005748-T1
OG0006036	GBNTN_008417-T1	GBNWO_005749-T1
OG0006037	GBNTN_008418-T1	GBNWO_005750-T1
OG0006038	GBNTN_008420-T1	GBNWO_000264-T1
OG0006039	GBNTN_008421-T1	GBNWO_000263-T1
OG0006040	GBNTN_008424-T1	GBNWO_006350-T1
OG0006041	GBNTN_008425-T1	GBNWO_006351-T1
OG0006042	GBNTN_008428-T1	GBNWO_006353-T1
OG0006043	GBNTN_008435-T1	GBNWO_003402-T1
OG0006044	GBNTN_008436-T1	GBNWO_003403-T1
OG0006045	GBNTN_008437-T1	GBNWO_003404-T1
OG0006046	GBNTN_008438-T1	GBNWO_007758-T1
OG0006047	GBNTN_008439-T1	GBNWO_007759-T1
OG0006048	GBNTN_008440-T1	GBNWO_007760-T1
OG0006049	GBNTN_008442-T1	GBNWO_007762-T1
OG0006050	GBNTN_008443-T1	GBNWO_000916-T1
OG0006051	GBNTN_008445-T1	GBNWO_000653-T1
OG0006052	GBNTN_008447-T1	GBNWO_000359-T1
OG0006053	GBNTN_008448-T1	GBNWO_000358-T1
OG0006054	GBNTN_008450-T1	GBNWO_000705-T1
OG0006055	GBNTN_008451-T1	GBNWO_000704-T1
OG0006056	GBNTN_008452-T1	GBNWO_000702-T1
OG0006057	GBNTN_008454-T1	GBNWO_006385-T1
OG0006058	GBNTN_008460-T1	GBNWO_000455-T1
OG0006059	GBNTN_008462-T1	GBNWO_003141-T1
OG0006060	GBNTN_008464-T1	GBNWO_008748-T1
OG0006061	GBNTN_008465-T1	GBNWO_004353-T1
OG0006062	GBNTN_008467-T1	GBNWO_004351-T1
OG0006063	GBNTN_008469-T1	GBNWO_005082-T1
OG0006064	GBNTN_008471-T1	GBNWO_009350-T1
OG0006065	GBNTN_008472-T1	GBNWO_007502-T1
OG0006066	GBNTN_008473-T1	GBNWO_007501-T1
OG0006067	GBNTN_008474-T1	GBNWO_007500-T1
OG0006068	GBNTN_008476-T1	GBNWO_007499-T1
OG0006069	GBNTN_008477-T1	GBNWO_006991-T1
OG0006070	GBNTN_008478-T1	GBNWO_006992-T1
OG0006071	GBNTN_008480-T1	GBNWO_006920-T1
OG0006072	GBNTN_008484-T1	GBNWO_006919-T1
OG0006073	GBNTN_008485-T1	GBNWO_006291-T1
OG0006074	GBNTN_008488-T1	GBNWO_006292-T1
OG0006075	GBNTN_008489-T1	GBNWO_006293-T1
OG0006076	GBNTN_008490-T1	GBNWO_006294-T1
OG0006077	GBNTN_008491-T1	GBNWO_006295-T1
OG0006078	GBNTN_008493-T1	GBNWO_006296-T1
OG0006079	GBNTN_008494-T1	GBNWO_006297-T1
OG0006080	GBNTN_008496-T1	GBNWO_005196-T1
OG0006081	GBNTN_008497-T1	GBNWO_007455-T1
OG0006082	GBNTN_008498-T1	GBNWO_005442-T1
OG0006083	GBNTN_008499-T1	GBNWO_000544-T1
OG0006084	GBNTN_008502-T1	GBNWO_000543-T1
OG0006085	GBNTN_008503-T1	GBNWO_000542-T1
OG0006086	GBNTN_008504-T1	GBNWO_003977-T1
OG0006087	GBNTN_008505-T1	GBNWO_003976-T1
OG0006088	GBNTN_008506-T1	GBNWO_001604-T1
OG0006089	GBNTN_008509-T1	GBNWO_007567-T1
OG0006090	GBNTN_008510-T1	GBNWO_007566-T1
OG0006091	GBNTN_008511-T1	GBNWO_007565-T1
OG0006092	GBNTN_008513-T1	GBNWO_007255-T1
OG0006093	GBNTN_008514-T1	GBNWO_008516-T1
OG0006094	GBNTN_008515-T1	GBNWO_008518-T1
OG0006095	GBNTN_008516-T1	GBNWO_008519-T1
OG0006096	GBNTN_008517-T1	GBNWO_008520-T1
OG0006097	GBNTN_008518-T1	GBNWO_002047-T1
OG0006098	GBNTN_008519-T1	GBNWO_003707-T1
OG0006099	GBNTN_008520-T1	GBNWO_003706-T1
OG0006100	GBNTN_008522-T1	GBNWO_003876-T1
OG0006101	GBNTN_008523-T1	GBNWO_004486-T1
OG0006102	GBNTN_008524-T1	GBNWO_004487-T1
OG0006103	GBNTN_008526-T1	GBNWO_000518-T1
OG0006104	GBNTN_008527-T1	GBNWO_000516-T1
OG0006105	GBNTN_008528-T1	GBNWO_008385-T1
OG0006106	GBNTN_008529-T1	GBNWO_008386-T1
OG0006107	GBNTN_008530-T1	GBNWO_008387-T1
OG0006108	GBNTN_008531-T1	GBNWO_008283-T1
OG0006109	GBNTN_008532-T1	GBNWO_008284-T1
OG0006110	GBNTN_008538-T1	GBNWO_004526-T1
OG0006111	GBNTN_008539-T1	GBNWO_004525-T1
OG0006112	GBNTN_008540-T1	GBNWO_006861-T1
OG0006113	GBNTN_008541-T1	GBNWO_006862-T1
OG0006114	GBNTN_008542-T1	GBNWO_006863-T1
OG0006115	GBNTN_008543-T1	GBNWO_006864-T1
OG0006116	GBNTN_008545-T1	GBNWO_006644-T1
OG0006117	GBNTN_008546-T1	GBNWO_007090-T1
OG0006118	GBNTN_008547-T1	GBNWO_007089-T1
OG0006119	GBNTN_008548-T1	GBNWO_007088-T1
OG0006120	GBNTN_008550-T1	GBNWO_007086-T1
OG0006121	GBNTN_008551-T1	GBNWO_004325-T1
OG0006122	GBNTN_008554-T1	GBNWO_008476-T1
OG0006123	GBNTN_008556-T1	GBNWO_008477-T1
OG0006124	GBNTN_008557-T1	GBNWO_008422-T1
OG0006125	GBNTN_008558-T1	GBNWO_008423-T1
OG0006126	GBNTN_008559-T1	GBNWO_008424-T1
OG0006127	GBNTN_008561-T1	GBNWO_004473-T1
OG0006128	GBNTN_008563-T1	GBNWO_007733-T1
OG0006129	GBNTN_008564-T1	GBNWO_007734-T1
OG0006130	GBNTN_008567-T1	GBNWO_007737-T1
OG0006131	GBNTN_008568-T1	GBNWO_007738-T1
OG0006132	GBNTN_008569-T1	GBNWO_004976-T1
OG0006133	GBNTN_008570-T1	GBNWO_004977-T1
OG0006134	GBNTN_008571-T1	GBNWO_004978-T1
OG0006135	GBNTN_008572-T1	GBNWO_004979-T1
OG0006136	GBNTN_008574-T1	GBNWO_004981-T1
OG0006137	GBNTN_008576-T1	GBNWO_004983-T1
OG0006138	GBNTN_008579-T1	GBNWO_005819-T1
OG0006139	GBNTN_008580-T1	GBNWO_005818-T1
OG0006140	GBNTN_008581-T1	GBNWO_005817-T1
OG0006141	GBNTN_008582-T1	GBNWO_005816-T1
OG0006142	GBNTN_008586-T1	GBNWO_007788-T1
OG0006143	GBNTN_008587-T1	GBNWO_007789-T1
OG0006144	GBNTN_008588-T1	GBNWO_007790-T1
OG0006145	GBNTN_008589-T1	GBNWO_007791-T1
OG0006146	GBNTN_008591-T1	GBNWO_007792-T1
OG0006147	GBNTN_008592-T1	GBNWO_008488-T1
OG0006148	GBNTN_008593-T1	GBNWO_008487-T1
OG0006149	GBNTN_008594-T1	GBNWO_008486-T1
OG0006150	GBNTN_008595-T1	GBNWO_008485-T1
OG0006151	GBNTN_008596-T1	GBNWO_008484-T1
OG0006152	GBNTN_008597-T1	GBNWO_004897-T1
OG0006153	GBNTN_008598-T1	GBNWO_004899-T1
OG0006154	GBNTN_008599-T1	GBNWO_004900-T1
OG0006155	GBNTN_008601-T1	GBNWO_004329-T1
OG0006156	GBNTN_008602-T1	GBNWO_004616-T1
OG0006157	GBNTN_008603-T1	GBNWO_001414-T1
OG0006158	GBNTN_008605-T1	GBNWO_001413-T1
OG0006159	GBNTN_008606-T1	GBNWO_001412-T1
OG0006160	GBNTN_008609-T1	GBNWO_007016-T1
OG0006161	GBNTN_008611-T1	GBNWO_008573-T1
OG0006162	GBNTN_008615-T1	GBNWO_002382-T1
OG0006163	GBNTN_008616-T1	GBNWO_002381-T1
OG0006164	GBNTN_008617-T1	GBNWO_003698-T1
OG0006165	GBNTN_008618-T1	GBNWO_003697-T1
OG0006166	GBNTN_008619-T1	GBNWO_007012-T1
OG0006167	GBNTN_008621-T1	GBNWO_000010-T1
OG0006168	GBNTN_008623-T1	GBNWO_000008-T1
OG0006169	GBNTN_008624-T1	GBNWO_007671-T1
OG0006170	GBNTN_008625-T1	GBNWO_007670-T1
OG0006171	GBNTN_008626-T1	GBNWO_007669-T1
OG0006172	GBNTN_008627-T1	GBNWO_008457-T1
OG0006173	GBNTN_008629-T1	GBNWO_008456-T1
OG0006174	GBNTN_008631-T1	GBNWO_008397-T1
OG0006175	GBNTN_008632-T1	GBNWO_008398-T1
OG0006176	GBNTN_008634-T1	GBNWO_008400-T1
OG0006177	GBNTN_008637-T1	GBNWO_001464-T1
OG0006178	GBNTN_008638-T1	GBNWO_004083-T1
OG0006179	GBNTN_008641-T1	GBNWO_000626-T1
