	Gilbertella_persicariavar.indica_CBS_442.64-.aa	Gilbertella_persicariavar.persicaria_CBS_246.59_Plus.aa
OG0000086	GBNTN_000914-T1, GBNTN_000915-T1, GBNTN_005593-T1, GBNTN_006778-T1	GBNWO_002429-T1, GBNWO_003363-T1, GBNWO_006561-T1
OG0000087	GBNTN_001191-T1, GBNTN_001893-T1, GBNTN_005811-T1	GBNWO_007528-T1, GBNWO_008666-T1, GBNWO_008742-T1, GBNWO_008841-T1
OG0000088	GBNTN_001326-T1, GBNTN_003731-T1, GBNTN_004699-T1, GBNTN_005225-T1	GBNWO_001363-T1, GBNWO_001697-T1, GBNWO_002952-T1
OG0000089	GBNTN_001457-T1, GBNTN_002478-T1, GBNTN_006758-T1	GBNWO_001799-T1, GBNWO_004549-T1, GBNWO_007142-T1, GBNWO_008945-T1
OG0000090	GBNTN_001635-T1, GBNTN_008406-T1	GBNWO_002396-T1, GBNWO_003375-T1, GBNWO_004971-T1, GBNWO_006355-T1, GBNWO_007905-T1
OG0000091	GBNTN_001746-T1, GBNTN_005687-T1, GBNTN_007419-T1	GBNWO_001806-T1, GBNWO_002413-T1, GBNWO_004160-T1, GBNWO_008365-T1
OG0000092	GBNTN_001846-T1, GBNTN_002025-T1, GBNTN_003163-T1, GBNTN_007215-T1	GBNWO_002309-T1, GBNWO_002862-T1, GBNWO_008305-T1
OG0000093	GBNTN_002491-T1, GBNTN_002722-T1, GBNTN_007058-T1	GBNWO_001822-T1, GBNWO_006486-T1, GBNWO_006923-T1, GBNWO_006924-T1
OG0000094	GBNTN_002502-T1, GBNTN_002683-T1, GBNTN_004425-T1, GBNTN_008133-T1	GBNWO_000998-T1, GBNWO_001636-T1, GBNWO_008154-T1
OG0000095	GBNTN_002526-T1, GBNTN_003729-T1, GBNTN_005640-T1, GBNTN_006697-T1	GBNWO_005692-T1, GBNWO_009385-T1, GBNWO_009621-T1
OG0000096	GBNTN_002604-T1, GBNTN_002658-T1, GBNTN_002788-T1, GBNTN_008289-T1	GBNWO_000899-T1, GBNWO_002043-T1, GBNWO_006169-T1
OG0000097	GBNTN_002700-T1, GBNTN_005397-T1, GBNTN_007589-T1	GBNWO_002212-T1, GBNWO_003008-T1, GBNWO_004415-T1, GBNWO_005037-T1
OG0000098	GBNTN_002727-T1, GBNTN_006055-T1, GBNTN_008176-T1, GBNTN_008534-T1	GBNWO_001217-T1, GBNWO_001768-T1, GBNWO_008286-T1
OG0000099	GBNTN_002846-T1, GBNTN_005726-T1, GBNTN_007153-T1, GBNTN_007854-T1	GBNWO_006224-T1, GBNWO_007321-T1, GBNWO_007943-T1
OG0000100	GBNTN_002863-T1, GBNTN_003718-T1, GBNTN_005208-T1	GBNWO_001029-T1, GBNWO_001908-T1, GBNWO_005156-T1, GBNWO_005727-T1
OG0000101	GBNTN_002871-T1, GBNTN_007109-T1, GBNTN_007372-T1, GBNTN_008711-T1	GBNWO_001041-T1, GBNWO_002229-T1, GBNWO_008105-T1
OG0000102	GBNTN_002904-T1, GBNTN_003540-T1, GBNTN_006893-T1	GBNWO_006906-T1, GBNWO_007506-T1, GBNWO_007573-T1, GBNWO_008480-T1
OG0000103	GBNTN_003341-T1, GBNTN_003507-T1, GBNTN_005970-T1, GBNTN_008389-T1	GBNWO_001248-T1, GBNWO_004780-T1, GBNWO_008667-T1
OG0000104	GBNTN_003382-T1, GBNTN_006619-T1, GBNTN_009383-T1, GBNTN_009507-T1	GBNWO_000903-T1, GBNWO_005581-T1, GBNWO_009101-T1
OG0000105	GBNTN_003477-T1, GBNTN_005213-T1, GBNTN_009703-T1	GBNWO_002980-T1, GBNWO_003313-T1, GBNWO_003631-T1, GBNWO_007977-T1
OG0000106	GBNTN_003549-T1, GBNTN_003572-T1, GBNTN_004976-T1, GBNTN_008903-T1, GBNTN_009889-T1	GBNWO_004508-T1, GBNWO_007491-T1
OG0000107	GBNTN_004461-T1, GBNTN_005576-T1, GBNTN_006307-T1, GBNTN_006765-T1, GBNTN_007798-T1	GBNWO_003961-T1, GBNWO_009542-T1
OG0000108	GBNTN_004658-T1, GBNTN_006232-T1, GBNTN_006233-T1, GBNTN_008380-T1	GBNWO_000598-T1, GBNWO_003714-T1, GBNWO_004429-T1
OG0000109	GBNTN_004844-T1, GBNTN_006880-T1, GBNTN_007554-T1	GBNWO_001308-T1, GBNWO_001402-T1, GBNWO_001777-T1, GBNWO_007983-T1
OG0000110	GBNTN_004858-T1, GBNTN_008393-T1, GBNTN_008394-T1, GBNTN_009165-T1	GBNWO_000751-T1, GBNWO_007406-T1, GBNWO_009425-T1
OG0000111	GBNTN_004996-T1, GBNTN_007011-T1, GBNTN_007352-T1, GBNTN_009036-T1	GBNWO_005350-T1, GBNWO_005880-T1, GBNWO_008141-T1
OG0000112	GBNTN_005186-T1, GBNTN_007226-T1	GBNWO_002101-T1, GBNWO_003853-T1, GBNWO_004298-T1, GBNWO_006408-T1, GBNWO_009226-T1
OG0000113	GBNTN_005695-T1, GBNTN_005795-T1, GBNTN_006026-T1, GBNTN_007062-T1	GBNWO_001066-T1, GBNWO_005884-T1, GBNWO_007078-T1
OG0000114	GBNTN_006399-T1, GBNTN_008216-T1, GBNTN_008245-T1, GBNTN_009882-T1	GBNWO_000817-T1, GBNWO_001497-T1, GBNWO_004035-T1
OG0000115	GBNTN_006537-T1, GBNTN_007478-T1, GBNTN_008218-T1, GBNTN_009682-T1	GBNWO_002190-T1, GBNWO_003148-T1, GBNWO_009063-T1
OG0000116		GBNWO_001644-T1, GBNWO_001776-T1, GBNWO_001787-T1, GBNWO_005369-T1, GBNWO_005579-T1, GBNWO_007621-T1, GBNWO_009529-T1
OG0000117		GBNWO_001727-T1, GBNWO_004311-T1, GBNWO_004375-T1, GBNWO_004531-T1, GBNWO_004647-T1, GBNWO_004884-T1, GBNWO_007665-T1
